First Name,Last Name,Position,Jersey,Team,gamesPlayed,points,scoringPoints,goals,onePointGoals,twoPointGoals,assists,shots,shotPct,shotsOnGoal,shotsOnGoalPct,twoPointShots,twoPointShotPct,twoPointShotsOnGoal,twoPointShotsOnGoalPct,turnovers,causedTurnovers,groundBalls,touches,totalPasses,faceoffPct,faceoffsWon,faceoffsLost,faceoffs,saa,saves,savePct,scoresAgainst,twoPointGoalsAgainst,numPenalties,pim,powerPlayGoals,powerPlayShots,powerPlayGoalsAgainst,shortHandedGoals,shortHandedShots,unassistedGoals,assistedGoals
BJ,Farrare,LSM,70,Redwoods,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan,Kennedy,LSM,35,Redwoods,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TJ,Malone,A,7,Whipsnakes,10,37,19,19,19,0,18,74,0.25675675675675674,45,0.6081081081081081,2,0,1,0.5,17,2,19,326,235,0,0,0,0,0,0,0,0,0,1,0.5,1,4,0,0,0,11,8
Dylan,Molloy,M,4,Atlas,3,6,4,4,4,0,2,10,0.4,7,0.7,1,0,0,0,2,0,2,42,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Nick,Washuta,G,18,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick,Grill,LSM,8,Outlaws,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,14,29,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
JT,Giles-Harris,D,1,Outlaws,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,15,78,74,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Charlie,Hayes,SSDM,23,Waterdogs,5,1,1,1,1,0,0,4,0.25,3,0.75,0,0,0,0,2,2,11,33,27,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Levi,Anderson,M,24,Whipsnakes,7,13,9,9,9,0,4,27,0.3333333333333333,19,0.7037037037037037,0,0,0,0,8,1,6,129,94,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,3
Chris,Merle,SSDM,23,Redwoods,10,2,2,2,2,0,0,8,0.25,5,0.625,2,0,1,0.5,3,14,17,73,62,0,0,0,0,0,0,0,0,0,4,2.5,0,0,0,0,0,1,1
Logan,McGovern,M,11,Atlas,3,3,3,3,3,0,0,11,0.2727272727272727,9,0.8181818181818182,0,0,0,0,3,0,4,59,45,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,3,0
Dyson,Williams,M,51,Archers,5,4,4,4,4,0,0,11,0.36363636363636365,7,0.6363636363636364,0,0,0,0,3,0,1,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Jack,VanOverbeke,M,8,Archers,2,6,4,4,4,0,2,9,0.4444444444444444,6,0.6666666666666666,0,0,0,0,1,0,3,46,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
James,Reilly,FO,33,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,0.5,12,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus,Hudgins,D,11,Waterdogs,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pat,Kavanagh,A,51,Cannons,6,12,8,8,8,0,4,30,0.26666666666666666,19,0.6333333333333333,1,0,1,1,8,0,3,138,100,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,4,4
Brett,Kennedy,LSM,11,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam,Poitras,M,51,Whipsnakes,7,13,10,10,10,0,3,27,0.37037037037037035,19,0.7037037037037037,0,0,0,0,12,2,18,139,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4
Chris,Fake,D,31,Redwoods,10,2,2,1,0,1,0,5,0.2,2,0.4,5,0.2,2,0.4,4,2,12,74,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alec,Stathakis,FO,73,Waterdogs,7,0,0,0,0,0,0,4,0,0,0,2,0,0,0,3,0,26,26,19,0.44785276073619634,73,89,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky,Miezan,SSDM,45,Redwoods,4,0,0,0,0,0,0,2,0,1,0.5,1,0,1,1,0,2,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase,Yager,SSDM,38,Atlas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eli,Fisher,SSDM,3,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Hannah,M,3,Waterdogs,7,12,9,9,9,0,3,46,0.1956521739130435,26,0.5652173913043478,5,0,3,0.6,15,1,11,156,95,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,7,2
Wheaton,Jackoboice,SSDM,55,Whipsnakes,6,1,1,1,1,0,0,6,0.16666666666666666,4,0.6666666666666666,2,0,2,1,1,1,5,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brett,Makar,D,43,Atlas,10,2,0,0,0,0,2,2,0,1,0.5,2,0,1,0.5,5,6,20,84,77,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Dalton,Young,M,11,Outlaws,9,12,6,6,6,0,6,26,0.23076923076923078,11,0.4230769230769231,0,0,0,0,6,0,6,106,74,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0,4,2
Payton,Cormier,A,24,Atlas,2,6,5,5,5,0,1,11,0.45454545454545453,9,0.8181818181818182,1,0,0,0,1,0,2,27,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4
Jake,Stevens,M,14,Atlas,6,10,8,8,8,0,2,25,0.32,16,0.64,1,0,0,0,6,0,5,82,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
Brendan,Krebs,G,0,Whipsnakes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,30,155,149,0,0,0,0,11.93015034103489,124,0.52991452991453,116,6,0,0,0,0,0,0,0,0,0
Xander,Dickson,A,10,Atlas,10,30,24,24,24,0,6,58,0.41379310344827586,41,0.7068965517241379,0,0,0,0,11,4,14,194,125,0,0,0,0,0,0,0,0,0,4,2.5,3,5,0,0,1,1,23
Payton,Rezanka,SSDM,34,Atlas,10,2,2,2,2,0,0,5,0.4,4,0.8,0,0,0,0,1,4,5,36,30,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,2
Koby,Smith,LSM,0,Atlas,10,6,4,2,0,2,2,11,0.18181818181818182,8,0.7272727272727273,7,0.2857142857142857,6,0.8571428571428571,2,5,13,51,38,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,2
Cole,Kirst,M,47,Redwoods,7,9,5,5,5,0,4,19,0.2631578947368421,17,0.8947368421052632,0,0,0,0,6,0,4,106,81,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2
Zac,Tucci,FO,4,Cannons,9,4,4,3,2,1,0,22,0.13636363636363635,10,0.45454545454545453,11,0.09090909090909091,3,0.2727272727272727,5,2,63,59,32,0.4784688995215311,100,109,209,0,0,0,0,0,2,1,0,0,0,1,1,3,0
Brian,Tevlin,SSDM,12,Redwoods,9,2,1,1,1,0,1,11,0.09090909090909091,5,0.45454545454545453,2,0,2,1,7,11,29,113,95,0.2222222222222222,2,7,9,0,0,0,0,0,3,2,0,0,0,0,0,0,1
Jon,Robbins,LSM,41,Archers,9,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,2,6,18,33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett,Leadmon,M,40,Whipsnakes,3,2,2,1,0,1,0,13,0.07692307692307693,7,0.5384615384615384,4,0.25,3,0.75,5,0,1,56,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chet,Comizio,SSDM,57,Atlas,10,3,3,3,3,0,0,7,0.42857142857142855,6,0.8571428571428571,0,0,0,0,6,6,12,90,77,0,0,2,2,0,0,0,0,0,1,0.5,0,0,0,0,0,0,3
John,Geppert,LSM,19,Atlas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tye,Kurtz,A,82,Chaos,7,12,9,8,7,1,3,24,0.3333333333333333,16,0.6666666666666666,1,1,1,1,9,0,9,150,117,0,0,0,0,0,0,0,0,0,1,0.5,1,3,0,0,0,0,8
Ron,John,SSDM,33,Redwoods,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin,Adler,D,77,Atlas,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,16,60,58,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
Sam,Handley,M,26,Outlaws,10,16,10,9,8,1,6,45,0.2,29,0.6444444444444445,5,0.2,3,0.6,12,0,3,201,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
Chris,Gray,A,4,Redwoods,8,12,8,8,8,0,4,37,0.21621621621621623,22,0.5945945945945946,3,0,2,0.6666666666666666,13,1,8,238,188,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4
Bubba,Fairman,SSDM,2,Cannons,10,0,0,0,0,0,0,5,0,3,0.6,0,0,0,0,4,3,8,77,68,0.4,2,3,5,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
Ryan,Aughavin,M,42,Archers,6,4,2,1,0,1,2,12,0.08333333333333333,8,0.6666666666666666,6,0.16666666666666666,4,0.6666666666666666,4,0,2,58,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Ryan,McNulty,LSM,5,Chaos,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colin,Kirst,G,5,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24,165,163,0,0,0,0,11.433700417716713,129,0.5375,115,4,0,0,0,0,10,0,0,0,0
Jake,Piseno,LSM,88,Outlaws,10,2,1,1,1,0,1,12,0.08333333333333333,10,0.8333333333333334,8,0,6,0.75,5,7,30,83,66,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Mike,Robinson,A,29,Cannons,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,3,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,Posey,D,43,Chaos,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,14,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Brennan,O'Neill,A,42,Outlaws,10,29,21,19,17,2,8,82,0.23170731707317074,48,0.5853658536585366,12,0.16666666666666666,6,0.5,10,0,14,302,210,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,15,4
Matt,Brandau,A,36,Waterdogs,6,6,4,4,4,0,2,20,0.2,15,0.75,0,0,0,0,3,0,7,76,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Chris,Conlin,D,20,Redwoods,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,17,75,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chayse,Ierlan,G,22,Redwoods,2,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,8,7,0,0,0,0,16.951147733961154,5,0.384615384615385,10,2,0,0,0,0,0,0,0,0,0
Tyler,Carpenter,LSM,5,Atlas,10,7,6,4,2,2,1,8,0.5,6,0.75,3,0.6666666666666666,3,1,5,6,41,83,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Ronan,Jacoby,M,88,Atlas,6,5,2,2,2,0,3,16,0.125,12,0.75,3,0,3,1,1,1,4,100,83,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2
Brayden,Mayea,A,50,Chaos,3,1,1,1,1,0,0,12,0.08333333333333333,6,0.5,0,0,0,0,5,0,2,36,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eric,Dobson,M,66,Chaos,6,5,5,5,5,0,0,20,0.25,13,0.65,4,0,3,0.75,11,1,3,100,69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2
Nakeie,Montgomery,M,1,Redwoods,8,4,2,2,2,0,2,17,0.11764705882352941,11,0.6470588235294118,2,0,2,1,7,1,8,92,68,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Stephen,Zupicich,LSM,77,Whipsnakes,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen,McElroy,G,24,Outlaws,9,0,0,0,0,0,0,1,0,1,1,1,0,1,1,3,1,21,125,121,0,0,0,0,12.03665005626105,104,0.517412935323383,104,7,0,0,0,0,9,0,0,0,0
Luke,Wierman,FO,52,Outlaws,10,6,5,5,5,0,1,14,0.35714285714285715,8,0.5714285714285714,1,0,0,0,5,3,61,78,59,0.4979757085020243,123,123,247,0,0,0,0,0,1,1,0,0,0,1,1,5,0
Pat,Aslanian,SSDM,9,Cannons,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,3,0.2,1,4,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Brett,Dobson,G,45,Archers,10,1,0,0,0,0,1,2,0,1,0.5,2,0,1,0.5,6,3,24,148,140,0,0,0,0,11.845758354755784,147,0.571984435797665,120,10,0,0,0,0,15,0,0,0,0
Zach,Geddes,SSDM,13,Chaos,10,6,5,5,5,0,1,18,0.2777777777777778,11,0.6111111111111112,2,0,2,1,1,6,17,76,57,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,4,1
Saam,Olexo,LSM,48,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0
Petey,LaSalla,FO,22,Whipsnakes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0.35714285714285715,10,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane,Knobloch,M,27,Chaos,10,15,12,11,10,1,3,44,0.25,26,0.5909090909090909,4,0.25,3,0.75,14,0,8,212,154,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,1,1,10,1
Michael,Boehm,A,91,Waterdogs,1,2,0,0,0,0,2,4,0,2,0.5,0,0,0,0,2,0,3,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,Woodward,D,77,Archers,10,5,5,4,3,1,0,9,0.4444444444444444,5,0.5555555555555556,6,0.16666666666666666,2,0.3333333333333333,0,8,19,94,85,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2
Ross,Scott,A,15,Chaos,10,16,14,14,14,0,2,48,0.2916666666666667,27,0.5625,1,0,0,0,11,1,7,235,176,0,0,0,0,0,0,0,0,0,3,1.5,1,1,0,0,0,7,7
Liam,Entenmann,G,44,Atlas,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,19,90,88,0,0,0,0,11.113772455089821,71,0.586776859504132,58,8,0,0,0,0,3,0,0,0,0
Graham,Bundy,M,7,Outlaws,10,23,21,15,9,6,2,69,0.21739130434782608,33,0.4782608695652174,27,0.2222222222222222,19,0.7037037037037037,11,0,5,225,145,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,12
Will,Bowen,D,24,Chaos,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4,16,45,41,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
Matt,Campbell,M,20,Cannons,10,25,19,14,9,5,6,51,0.27450980392156865,32,0.6274509803921569,17,0.29411764705882354,12,0.7058823529411765,6,0,13,261,204,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,7,7
Piper,Bond,SSDM,54,Archers,10,2,2,2,2,0,0,7,0.2857142857142857,5,0.7142857142857143,1,0,1,1,10,3,23,125,108,0,0,2,2,0,0,0,0,0,5,3,0,0,0,0,0,1,1
Alex,Simmons,A,9,Redwoods,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,DiBenedetto,D,6,Archers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor,Maher,SSDM,31,Archers,10,0,0,0,0,0,0,3,0,3,1,2,0,2,1,1,5,11,66,62,0,0,5,5,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Ajax,Zappitello,D,5,Whipsnakes,10,2,1,1,1,0,1,3,0.3333333333333333,3,1,0,0,0,0,6,13,22,83,74,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1,0
Colby,Barsz,D,24,Archers,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrett,Degnon,M,44,Redwoods,4,6,5,4,3,1,1,15,0.26666666666666666,9,0.6,5,0.2,4,0.8,3,0,3,70,52,0,0,0,0,0,0,0,0,0,2,1.5,0,1,0,0,0,2,2
Thomas,McConvey,M,12,Waterdogs,2,0,0,0,0,0,0,3,0,1,0.3333333333333333,0,0,0,0,0,1,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,Vardaro,M,19,Cannons,8,8,8,8,8,0,0,27,0.2962962962962963,16,0.5925925925925926,1,0,0,0,5,0,2,105,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Beau,Pederson,SSDM,89,Archers,10,2,1,1,1,0,1,3,0.3333333333333333,1,0.3333333333333333,0,0,0,0,1,4,8,62,58,0.1,1,8,10,0,0,0,0,0,2,1.5,0,0,0,0,0,1,0
Arden,Cohen,D,40,Redwoods,10,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,9,28,49,46,0,0,0,0,0,0,0,0,0,6,6.5,0,0,0,0,0,0,0
